"_system_object_id","_id","T_Chronologie","T_ChronologieDatMin","T_ChronologieDatMax","T_ChronologieTimespanFrom","T_ChronologieTimespanTo"
"112467","17823","Anfrage 1964","01.01.1964","31.12.1964","1964","1964"
"112469","17825","Vorprojekt 1994","01.01.1994","31.12.1994","1994","1994"
"112470","17826","Vorprojekt 1995","01.01.1995","31.12.1995","1995","1995"
"112471","17827","Anfrage 1970","01.01.1970","31.12.1970","1970","1970"
"112472","17828","Vorschlag 1969","01.01.1969","31.12.1969","1969","1969"
"112473","17829","Vorprojekt 1967","01.01.1967","31.12.1967","1967","1967"
"112474","17830","Anfrage 1971","01.01.1971","31.12.1971","1971","1971"
"112475","17831","Anfrage 1975","01.01.1975","31.12.1975","1975","1975"
"112476","17832","Vorschlag 1967","01.01.1967","31.12.1967","1967","1967"
"112477","17833","Vorprojekt 2000/2001","01.01.2000","31.12.2001","2000","2001"
"112478","17834","Vorprojekt 1971","01.01.1971","31.12.1971","1971","1971"
"112479","17835","Vorprojekt 1967","01.01.1967","31.12.1967","1967","1967"
"112480","17836","Anfrage 1980","01.01.1980","31.12.1980","1980","1980"
"112481","17837","Vorprojekt 1972/1974; Nicht ausgeführt.","01.01.1972","31.12.1974","1972","1974"
"112482","17838","Studie 1979","01.01.1979","31.12.1979","1979","1979"
"112483","17839","Anfrage 2002/2004","01.01.2002","31.12.2004","2002","2004"
"112485","17841","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"112486","17842","Vorprojekt 1974","01.01.1974","31.12.1974","1974","1974"
"112487","17843","Vorprojekt 1985","01.01.1985","31.12.1985","1985","1985"
"112488","17844","Notiz 1965/1966","01.01.1965","31.12.1966","1965","1966"
"112489","17845","Anfrage 1996","01.01.1996","31.12.1996","1996","1996"
"112490","17846","Vorprojekt 1969","01.01.1969","31.12.1969","1969","1969"
"112542","17898","Vorprojekt 1993","01.01.1993","31.12.1993","1993","1993"
"112544","17900","Anfrage 1967","01.01.1967","31.12.1967","1967","1967"
"112545","17901","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
